,Address,Postcode,Size in m²,Rooms,Prize in €
0,"Apartment Transvaalkade


                       ", 1092 JN ,40 ,2,"2,500"
0,"Apartment Jan van Galenstraat 186 2


                       ", 1056 CJ ,48 ,2,"1,300"
0,"Apartment Bentinckstraat


                       ", 1051 GJ ,80 ,4,"4,200"
0,"Apartment Kinkerstraat


                       ", 1053 GG ,76 ,2,"3,000"
0,"Apartment Oudezijds Achterburgwal 169 A


                       ", 1012 DH ,75 ,3,"3,500"
0,"Apartment Geelvinckssteeg 6 1


                       ", 1017 BE ,65 ,3,"3,000"
0,"Apartment Runstraat 23 III


                       ", 1016 GJ ,60 ,3,"2,500"
0,"Apartment Prins Hendrikkade


                       ", 1011 AN ,65 ,2,"3,000"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Brouwersgracht 248 K


                       ", 1013 HE ,60 ,2,"2,150"
0,"Apartment Derde Schinkelstraat 27 G


                       ", 1075 TK ,53 ,2,"2,500"
0,"Apartment Da Costastraat


                       ", 1053 ZD ,40 ,4,"3,500"
0,, 1079 DE ,81 ,3,"3,150"
0,"Apartment Rozenstraat


                       ", 1016 PB ,30 ,2,"1,950"
0,"Apartment Jan Olphert Vaillantlaan


                       ", 1086 ZA ,60 ,3,"2,150"
0,"Apartment Cruquiusweg 107


                       ", 1019 AG ,50 ,2,"3,000"
0,"Apartment Goudsbloemstraat


                       ", 1015 JR ,50 ,2,"2,500"
0,"Apartment Hoendiepstraat


                       ", 1079 LW ,61 ,3,"3,500"
0,"Apartment Overtoom


                       ", 1054 LG ,90 ,2,"3,000"
0,"Apartment Admiraal De Ruijterweg 225 I


                       ", 1055 LR ,75 ,3,"3,000"
0,"Apartment Tweede Jan Steenstraat


                       ", 1073 VL ,60 ,3,"3,500"
0,"Apartment Amstelveenseweg 142


                       ", 1075 XM ,39 ,1,"1,300"
0,"Apartment Corantijnstraat


                       ", 1058 DD ,55 ,3,"3,500"
0,, 1066 SX ,85 ,4,"4,450"
0,"Apartment Schinkelhavenkade


                       ", 1075 VS ,91 ,2,"3,500"
0,"Apartment Aalsmeerweg 127 2


                       ", 1059 AH ,72 ,3,"2,800"
0,"Apartment Brouwersgracht 248 C


                       ", 1013 HE ,78 ,2,"3,000"
0,"Apartment Jephtastraat


                       ", 1055 JT ,84 ,4,"2,500"
0,"Apartment Van der Palmkade 214


                       ", 1051 RL ,00 ,3,"3,500"
0,"Apartment Sumatrakade 1345


                       ", 1019 RN ,65 ,6,"4,200"
0,"Apartment Singel


                       ", 1012 VG ,60 ,3,"3,150"
0,"Apartment Jan Olphert Vaillantlaan


                       ", 1086 ZA ,60 ,3,"2,150"
0,"Apartment Berenstraat


                       ", 1016 GH ,60 ,2,"2,500"
0,"Apartment Overtoom 244 IV


                       ", 1054 JA ,00 ,3,"2,950"
0,"Apartment Wouwermanstraat 24 3


                       ", 1071 LZ ,80 ,3,"2,150"
0,, 1025 SW ,12 ,1,€1300
0,, 1071 LZ ,38 ,5,"4,500"
0,"Apartment Chasséstraat


                       ", 1057 JB ,50 ,4,"3,700"
0,"Apartment Valschermkade


                       ", 1059 CD ,18 ,1,€2000
0,"Apartment Leliegracht


                       ", 1015 DJ ,59 ,2,"2,500"
0,"Apartment Kramatweg


                       ", 1095 JW ,50 ,2,"2,300"
0,"Apartment IJburglaan


                       ", 1087 CE ,18 ,3,"4,450"
0,"Apartment Bella Vistastraat


                       ", 1096 GM ,00 ,4,"3,500"
0,"Apartment Leidsestraat 108 C


                       ", 1017 PG ,88 ,3,"3,000"
0,"Apartment Hoofdweg 230 2


                       ", 1057 DG ,58 ,3,"3,500"
0,"Apartment Albert Cuypstraat


                       ", 1073 BG ,28 ,2,"2,000"
0,"Apartment Sarphatistraat


                       ", 1018 EX ,70 ,3,"3,500"
0,"Apartment Dalsteindreef


                       ", 1102 XA ,28 ,1,€1600
0,"Apartment Nachtwachtlaan


                       ", 1058 ES ,98 ,4,"4,500"
0,, 1064 NM ,58 ,4,"4,000"
0,"Apartment Theodoor van Hoytemastraat


                       ", 1062 CG ,40 ,2,"2,500"
0,"Apartment Onstein 36


                       ", 1082 KL ,70 ,3,"3,000"
0,"Apartment De Lierhof 50


                       ", 1059 WE ,90 ,3,"3,050"
0,, 1033 HJ ,84 ,5,"2,800"
0,"Apartment Rokin 122 4


                       ", 1012 LC ,20 ,3,"3,500"
0,"Apartment Commelinstraat


                       ", 1093 TP ,60 ,2,"2,500"
0,"Apartment Elzenhagensingel


                       ", 1022 LA ,98 ,3,€1400
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Curaçaostraat


                       ", 1058 BT ,62 ,2,"2,050"
0,"Apartment Kinkerstraat


                       ", 1053 GB ,43 ,2,"2,350"
0,"Apartment Lange Niezel


                       ", 1012 GS ,30 ,1,"2,000"
0,"Apartment Arent Janszoon Ernststraat


                       ", 1082 LM ,80 ,4,"2,500"
0,"Apartment H. Cleyndertweg


                       ", 1025 EE ,81 ,3,"2,500"
0,"Apartment Schipluidenlaan


                       ", 1062 HE ,75 ,3,"3,500"
0,, 1054 KC ,50 ,2,"3,500"
0,"Apartment Jan Luijkenstraat 42 B


                       ", 1071 CR ,43 ,2,"2,000"
0,"Apartment Grubbehoeve


                       ", 1103 GZ ,65 ,2,"2,350"
0,"Apartment Marnixstraat


                       ", 1017 PJ ,50 ,2,"2,800"
0,"Apartment Eerste Helmersstraat


                       ", 1054 DV ,55 ,2,"2,300"
0,"Apartment Van Hogendorpstraat 76 2


                       ", 1051 BS ,41 ,2,"3,500"
