,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
396,Commelinstraat                       , 1093 TH ,44.0,3,2300.0,52.27272727272727,52.363788,4.92666
397,Elisabeth Wolffstraat                       , 1053 TW ,51.0,3,3500.0,68.62745098039215,52.369781,4.867401
398,Ecuplein 32                       , 1060 RN ,97.0,3,2800.0,28.8659793814433,52.349216,4.78523
399,Tugelaweg                       , 1092 VD ,72.0,2,3150.0,43.75,52.355156,4.91896
400,Singel                       , 1012 VD ,45.0,1,2350.0,52.22222222222222,52.375858,4.891292
401,Bestevâerstraat 195 2                       , 1055 TL ,57.0,3,2300.0,40.35087719298246,52.37003,4.856398
402,Slotermeerlaan 61                       , 1064 HA ,85.0,4,3150.0,37.058823529411775,52.37667,4.818987
403,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
404,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
405,Dintelstraat                       , 1078 VZ ,75.0,3,3600.0,48.0,52.341869,4.89344
406,Azaleastraat                       , 1032 BV ,70.0,3,2150.0,30.714285714285715,52.395674,4.915981
407,Loenermark                       , 1025 VP ,75.0,3,3000.0,40.0,52.399525,4.932976
408,De Klencke 101 A                       , 1083 HH ,85.0,3,4500.0,52.941176470588225,52.333504,4.885280000000002
409,Gustav Mahlerlaan 126                       , 1082 ME ,169.0,3,3500.0,20.710059171597628,52.336923,4.87132
410,Gustav Mahlerlaan 184                       , 1082 ME ,175.0,3,3400.0,19.428571428571427,52.336913,4.871129
411,Kleiburg                       , 1104 EA ,70.0,3,2300.0,32.857142857142854,52.318351,4.980421
412,Eerste Jan Steenstraat                       , 1072 NR ,110.0,4,5000.0,45.45454545454545,52.353513,4.887904
413,Krommertstraat                       , 1056 TS ,60.0,3,2300.0,38.333333333333336,52.371945,4.8580190000000005
414,Weteringschans 235                       , 1017 XH ,78.0,3,4350.0,55.769230769230774,52.359511,4.895118
415,Brouwersgracht 248 C                       , 1013 HE ,78.0,2,3000.0,38.46153846153846,52.382417,4.885611
416,Eerste Van Swindenstraat                       , 1093 GB ,51.0,2,2500.0,49.01960784313725,52.362647,4.927389
417,Minervalaan                       , 1077 NP ,144.0,5,3650.0,25.347222222222207,52.342892,4.873114
418,Nicolaas Witsenkade 8 C                       , 1017 ZR ,76.0,2,4450.0,58.55263157894736,52.358235,4.895936
419,Javaplein 13 III                       , 1095 CH ,65.0,2,2150.0,33.07692307692308,52.363896,4.940156
420,De Boelelaan 449                       , 1082 RJ ,67.0,2,1500.0,22.38805970149253,52.334771,4.874646
421,De Boelelaan 461                       , 1082 RK ,67.0,2,2700.0,40.29850746268657,52.334771,4.874661
422,Overschiestraat 170 C1*                       , 1062 XK ,103.0,4,3400.0,33.00970873786408,52.348849,4.839201
423,Overschiestraat 170 B35*                       , 1062 XK ,112.0,4,4350.0,38.839285714285715,52.348849,4.839201
424,Rustenburgerstraat 392 hs                       , 1072 HH ,63.0,2,3500.0,55.55555555555557,52.351477,4.8909650000000005
425,Spuistraat 39 A                       , 1012 SR ,37.0,1,1300.0,35.135135135135144,52.376165,4.892936
426,Camperstraat 18 B                       , 1091 AG ,81.0,3,4350.0,53.7037037037037,52.358676,4.912832
427,Elandsgracht 19 2                       , 1016 TM ,60.0,2,3500.0,58.33333333333334,52.369736,4.88154
