,Unnamed: 0, Latitude, Longitude, Status
532,532,52.363.896,4.940.156,doubt
533,533,489.973,doubt,
534,534,52.334.771,4.874.646,doubt
535,535,52.334.771,4.874.661,doubt
536,536,52.348.849,4.839.201,success
537,537,52.348.849,4.839.201,success
538,538,51.932.918,4.469.552,success
539,539,52.351.477,4.890.965,doubt
540,540,5.237.427,4.847.771,success
541,541,52.376.165,4.892.936,doubt
542,542,52.358.676,4.912.832,success
543,543,52.369.736,488.154,success
544,544,52.382.417,4.885.611,success
545,545,52.379.823,4.849.554,doubt
546,546,5.235.051,4.852.669,doubt
547,547,52.308.075,4.952.173,doubt
548,548,52.354.637,4.886.776,doubt
549,549,52.345.888,4.888.766,success
550,550,52.355.364,4.834.969,success
551,551,523.622,4.877.062,success
552,552,52.367.455,4.862.214,success
553,553,52.361.478,4.851.012,success
554,554,52.379.008,4.802.582,doubt
555,555,52.356.921,4.902.516,success
556,556,52.355.304,4.889.822,success
557,557,52.373.258,4.925.127,success
558,558,52.359.294,4.894.797,doubt
559,559,52.366.709,485.726,success
560,560,52.369.731,4.892.156,doubt
561,561,52.341.581,4.906.161,doubt
562,562,52.363.923,4.910.118,doubt
563,563,5.229.366,4.980.865,doubt
564,564,489.973,doubt,
565,565,52.361.458,4.854.373,success
566,566,52.351.196,4.838.119,doubt
567,567,52.367.984,4.953.586,doubt
568,568,5.237.056,4.889.144,success
569,569,52.367.166,4.902.235,doubt
570,570,52.342.239,4.845.759,success
571,571,52.336.651,4.873.108,doubt
572,572,52.363.282,4.884.683,success
573,573,52.367.586,4.873.204,doubt
574,574,489.973,doubt,
575,575,489.973,doubt,
576,576,489.973,doubt,
577,577,52.382.417,4.885.611,doubt
578,578,5.232.642,4.884.234,doubt
579,579,52.351.204,4.847.601,success
580,580,489.973,doubt,
581,581,52.393.143,4.955.817,doubt
582,582,5.235.567,4.892.034,success
583,583,5.235.567,4.892.034,success
584,584,52.393.143,4.955.817,doubt
585,585,52.414.552,4.884.291,doubt
586,586,52.376.117,4.841.067,doubt
587,587,52.372.333,4.853.828,success
588,588,52.357.901,4.890.839,success
589,589,52.367.405,4.893.165,doubt
590,590,52.365.048,4.898.317,success
591,591,52.372.122,4.853.745,doubt
592,592,52.359.002,4.893.685,doubt
593,593,489.973,doubt,
594,594,52.359.237,4.781.176,doubt
595,595,52.366.512,4.891.621,success
596,596,52.349.978,4.799.207,doubt
597,597,52.346.471,4.895.277,success
598,598,52.364.524,4.938.448,success
599,599,52.356.738,4.891.071,success
600,600,52.339.568,4.919.455,success
601,601,52.360.839,4.906.705,doubt
602,602,52.349.069,4.901.956,doubt
603,603,52.369.561,4.857.378,doubt
604,604,52.368.423,4.849.068,success
605,605,52.362.938,492.359,success
606,606,52.361.596,4.888.533,doubt
607,607,52.352.802,4.803.402,doubt
608,608,52.382.417,4.885.611,doubt
609,609,52.382.417,4.885.611,success
610,610,52.352.988,4.891.259,success
611,611,51.999.179,4.464.747,doubt
612,612,52.374.524,4.887.271,success
613,613,52.360.596,4.879.138,success
614,614,52.343.203,4.907.229,doubt
615,615,52.374.193,4.876.384,success
616,616,52.374.193,4.876.384,success
617,617,52.365.708,485.046,success
618,618,52.348.701,4.847.179,success
619,619,52.375.858,4.891.292,success
620,620,52.353.097,4.864.439,doubt
621,621,52.355.651,4.891.946,doubt
622,622,52.345.907,4.898.057,doubt
623,623,52.339.568,4.919.455,success
624,624,52.314.753,4.943.177,doubt
625,625,5.238.302,4.881.432,doubt
626,626,52.382.866,4.881.331,doubt
627,627,52.368.394,4.869.371,success
628,628,52.359.237,4.781.176,doubt
629,629,52.347.735,4.779.211,success
630,630,52.362.893,4.909.739,success
631,631,489.973,doubt,
632,632,52.363.382,4.873.156,doubt
633,633,52.352.939,4.900.974,doubt
634,634,489.973,doubt,
635,635,52.314.115,4.980.872,doubt
636,636,52.355.364,4.834.969,success
637,637,52.361.198,4.851.815,doubt
638,638,51.604.641,4.787.288,doubt
639,639,52.348.849,4.839.201,success
640,640,52.382.417,4.885.611,doubt
641,641,489.973,doubt,
642,642,52.315.571,4.952.914,doubt
643,643,52.362.814,492.739,success
644,644,52.372.048,4.904.857,doubt
645,645,52.349.216,4.836.661,doubt
646,646,52.408.269,4.915.102,success
647,647,52.399.525,4.932.976,success
648,648,52.361.416,4.862.565,success
649,649,5.236.482,4.933.322,success
650,650,52.344.608,4.906.866,success
651,651,52.363.282,4.884.683,success
652,652,52.382.613,4.871.248,success
653,653,52.373.111,4.861.139,success
654,654,52.364.336,4.892.515,doubt
655,655,52.369.544,4.836.449,success
656,656,52.361.703,4.809.092,doubt
657,657,52.359.813,4.995.218,success
658,658,52.127.238,4.667.328,doubt
659,659,52.391.917,4.877.115,doubt
660,660,52.403.798,4.919.943,success
661,661,5.234.502,4.877.287,doubt
662,662,doubt,,
663,663,52.364.034,4.860.067,doubt
664,664,52.352.252,4.795.581,success
665,665,52.356.344,4.844.804,doubt
666,666,52.344.337,4.900.403,doubt
667,667,52.372.176,4.818.927,success
668,668,52.365.369,4.880.152,doubt
669,669,52.364.402,4.924.456,doubt
670,670,52.373.213,4.887.668,doubt
671,671,52.408.539,4.931.165,doubt
672,672,489.973,doubt,
673,673,52.382.417,4.885.611,doubt
674,674,52.355.651,4.891.946,doubt
675,675,52.368.023,4.912.667,doubt
676,676,52.348.849,4.839.201,doubt
677,677,52.386.837,4.892.743,doubt
678,678,489.973,doubt,
679,679,52.344.765,4.950.871,doubt
680,680,52.368.646,4.858.235,success
681,681,5.237.289,4.968.642,doubt
682,682,52.368.434,4.896.825,success
683,683,52.342.072,4.877.482,success
684,684,5.236.012,4.843.505,doubt
685,685,52.362.178,485.291,doubt
686,686,52.360.552,4.794.721,doubt
687,687,523.804,4.886.911,doubt
688,688,52.364.811,4.875.253,doubt
689,689,52.341.973,4.866.947,doubt
690,690,52.350.134,4.942.012,doubt
691,691,52.350.285,4.941.482,doubt
692,692,52.401.761,4.934.016,success
693,693,failed,failed,failed
694,694,52.377.245,4.888.871,success
695,695,52.339.568,4.919.455,success
696,696,52.367.405,4.893.165,doubt
697,697,52.327.461,4.858.417,doubt
698,698,51.115.715,6.029.658,success
699,699,52.355.581,4.895.827,doubt
700,700,52.363.085,4.909.554,doubt
701,701,52.377.762,4.896.516,doubt
702,702,52.372.795,4.899.434,doubt
703,703,52.369.236,4.890.708,doubt
704,704,52.347.187,4.908.138,success
705,705,52.382.417,4.885.611,doubt
706,706,489.973,doubt,
707,707,52.357.332,4.912.146,success
708,708,52.357.737,4.899.613,success
709,709,52.373.738,4.879.633,success
710,710,52.352.025,5.002.068,success
711,711,52.355.433,4.893.504,doubt
712,712,52.369.838,4.899.482,doubt
713,713,52.380.642,4.880.299,doubt
714,714,52.355.433,4.893.504,doubt
715,715,489.973,doubt,
716,716,52.350.566,4.891.676,success
717,717,52.352.217,48.327,success
718,718,5.776.879,success,
719,719,52.348.849,4.839.201,success
720,720,52.348.849,4.839.201,success
721,721,52.357.744,4.907.689,success
722,722,52.348.849,4.839.201,success
723,723,52.375.858,4.891.292,success
724,724,52.351.232,4.800.521,success
725,725,52.396.272,4.931.381,success
726,726,52.367.072,4.882.803,doubt
727,727,52.368.714,4.897.962,success
728,728,52.327.461,4.858.417,doubt
729,729,52.348.849,4.839.201,success
730,730,52.383.459,4.847.494,success
731,731,52.375.858,4.891.292,success
732,732,5.235.135,4.890.665,success
733,733,52.356.938,4.814.873,doubt
734,734,52.346.241,5.009.875,success
735,735,52.361.242,4.873.078,doubt
736,736,52.382.417,4.885.611,doubt
737,737,52.347.277,484.719,doubt
738,738,52.377.561,4.893.508,success
739,739,5.235.634,4.887.791,success
740,740,52.374.238,4.846.817,doubt
741,741,53.200.263,5.800.179,doubt
742,742,52.376.381,4.855.514,success
743,743,52.375.877,487.786,success
744,744,52.360.826,4.854.189,doubt
745,745,52.299.537,4.987.297,success
746,746,52.355.141,4.837.472,success
747,747,52.355.141,4.837.472,success
748,748,52.355.141,4.837.472,success
749,749,52.339.456,4.894.278,success
750,750,52.355.141,4.837.472,success
751,751,52.355.141,4.837.472,success
752,752,52.353.958,4.873.075,doubt
753,753,52.342.394,4.868.703,doubt
754,754,523.216,4.941.808,success
755,755,52.374.679,481.803,doubt
