,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude,Status
361,Nieuwe Nieuwstraat 45                       , 1012 NG ,90.0,3,3150.0,35.0,52.375.276,4.892.902,doubt
362,Amstelveenseweg                       , 1075 VZ ,65.0,3,3000.0,46.153846153846146,52.350.707,4.856.842,success
363,Buitendraaierij                       , 1021 NM ,39.0,2,2300.0,58.97435897435897,52.381.813,4.916.164,doubt
364,Jan van Galenstraat 200 1                       , 1056 CK ,41.0,2,3500.0,85.36585365853658,52.372.615,4.847.498,doubt
365,Gaaspstraat                       , 1079 VD ,63.0,3,3150.0,50.0,52.344.208,4.908.371,success
366,Gaaspstraat                       , 1079 VC ,62.0,3,3150.0,50.806451612903224,52.344.208,4.908.371,success
367,Da Costastraat                       , 1053 ZJ ,98.0,3,2950.0,30.102040816326532,52.371.164,4.873.306,success
368,Leidsekruisstraat 29 II                       , 1017 RG ,54.0,3,3000.0,55.55555555555557,52.363.351,4.884.784,doubt
369,J.J. Viottastraat 21 II                       , 1071 JN ,202.0,6,9850.0,48.762376237623755,52.353.327,4.873.801,success
370,Kotteraarstraat 2                       , 1033 MC ,75.0,3,2800.0,37.333333333333336,52.408.408,4.891.577,success
371,Wijenburg                       , 1082 VP ,85.0,3,2500.0,29.411764705882355,52.332.607,4.872.148,success
372,Loenermark 820                       , 1025 VN ,65.0,2,2000.0,30.76923076923077,52.397.444,4.929.783,success
373,Duifjessteeg 12                       , 1012 KW ,89.0,3,3150.0,35.39325842696629,52.370.849,4.891.894,success
374,De Lairessestraat                       , 1071 PL ,86.0,2,3450.0,40.11627906976744,52.352.568,4.867.877,doubt
375,IJburglaan 960                       , 1087 JK ,129.0,3,2500.0,19.37984496124031,52.353.664,499.743,success
376,Cas Oorthuyskade 172                       , 1087 BB ,182.0,4,3500.0,19.23076923076923,52.360.235,4.989.694,success
377,Galjootstraat 60                       , 1086 VE ,83.0,3,2500.0,30.120481927710838,52.364.314,4.986.399,success
378,Overschiestraat 170 C3                       , 1062 XK ,74.0,3,1800.0,24.324324324324326,52.348.849,4.839.201,success
379,Overschiestraat 170 B37                       , 1062 XK ,77.0,3,2600.0,33.76623376623377,52.348.849,4.839.201,doubt
380,Overschiestraat 170 B38                       , 1062 XK ,77.0,3,2600.0,33.76623376623377,52.348.849,4.839.201,doubt
381,Overschiestraat 170 B36                       , 1062 XK ,77.0,3,2600.0,33.76623376623377,52.348.849,4.839.201,doubt
382,Onze Lieve Vrouwesteeg                       , 1012 LV ,60.0,2,2350.0,39.16666666666666,doubt,,
383,Muiderstraat 10 B                       , 1011 RB ,65.0,2,3000.0,46.153846153846146,52.367.484,4.905.997,success
384,Curaçaostraat                       , 1058 BT ,62.0,2,2050.0,33.064516129032256,489.973,doubt,
385,Lucellestraat 36 3                       , 1055 JA ,68.0,4,3500.0,51.470588235294116,52.379.823,4.849.554,doubt
386,Govert Flinckstraat                       , 1074 CJ ,70.0,2,4500.0,64.28571428571429,52.355.581,4.895.827,success
387,Geldersekade 102 D                       , 1012 BM ,50.0,2,2700.0,54.0,52.373.708,4.900.629,doubt
388,Pretoriusstraat                       , 1092 GH ,80.0,3,3500.0,43.75,52.354.728,4.921.661,success
389,Zocherstraat                       , 1054 LS ,81.0,3,4450.0,54.93827160493828,52.357.236,4.856.581,success
390,Holendrechtstraat                       , 1078 TT ,40.0,1,1950.0,48.75,52.349.028,4.908.977,success
391,Leidsekruisstraat                       , 1017 RG ,95.0,3,3150.0,33.1578947368421,52.363.508,4.884.942,success
392,Leidsekruisstraat                       , 1017 RG ,95.0,3,3150.0,33.1578947368421,52.363.508,4.884.942,success
393,Leidsekruisstraat                       , 1017 RG ,85.0,3,3150.0,37.058823529411775,52.363.508,4.884.942,success
394,Hofmeyrstraat                       , 1091 NA ,73.0,2,2800.0,38.35616438356164,52.351.443,4.916.401,success
395,H. Cleyndertweg                       , 1025 EB ,110.0,4,3000.0,27.272727272727273,52.403.167,493.714,success
396,Lange Leidsedwarsstraat                       , 1017 NR ,40.0,2,2300.0,57.5,52.363.977,4.884.571,success
397,Grensstraat                       , 1091 SV ,65.0,3,2500.0,38.46153846153846,52.354.195,4.910.623,success
398,Langswater 820                       , 1069 EH ,62.0,3,2300.0,37.096774193548384,52.359.045,4.787.959,success
