,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
159,Cornelis Schuytstraat 38 II                       , 1071 JK ,133.0,4,4500.0,33.83458646616541,52.354268,4.872013
160,Vondelstraat 170 I                       , 1054 GV ,90.0,3,3650.0,40.55555555555557,52.360621,4.870868
161,Agamemnonstraat                       , 1076 LN ,125.0,5,3500.0,28.0,52.344637,4.863630000000001
162,Lauriergracht 121 III-IV                       , 1016 RK ,112.0,3,3650.0,32.589285714285715,52.370439000000005,4.877802
163,Archimedesweg 65 I                       , 1098 JM ,50.0,2,2300.0,46.0,52.355872,4.939879
164,Dusartstraat                       , 1072 HT ,55.0,2,2000.0,36.36363636363637,52.35183,4.889398
165,Nijenburg 88                       , 1081 GG ,80.0,4,4450.0,55.625,52.328540000000004,4.865784
166,Weenahof 16                       , 1083 JE ,97.0,3,3500.0,36.082474226804116,52.333787,4.881861
167,Overvoorde                       , 1082 GB ,110.0,4,3450.0,31.363636363636363,52.326190000000004,4.8723529999999995
168,Amerbos                       , 1025 ZT ,85.0,4,2150.0,25.294117647058826,52.403942,4.941201
169,Rosy Wertheimstraat                       , 1082 MZ ,48.0,2,3500.0,72.91666666666667,52.336185,4.8757
171,Willem de Zwijgerlaan                       , 1056 JN ,60.0,3,2500.0,41.66666666666666,52.371165999999995,4.863198000000001
172,Beethovenstraat                       , 1077 JS ,140.0,4,4500.0,32.142857142857146,52.343825,4.877039
173,Amstelvlietstraat                       , 1096 GG ,175.0,4,9000.0,51.42857142857143,52.338908,4.918436
176,Liendenhof                       , 1108 HP ,115.0,4,4000.0,34.78260869565217,52.307937,4.983103
177,Burgemeester Hogguerstraat                       , 1064 CM ,93.0,2,3000.0,32.25806451612903,52.373284999999996,4.829275
178,Nieuwe Spiegelstraat 68 1                       , 1017 DH ,78.0,2,4500.0,57.69230769230769,52.36315,4.888324
179,Boterdiepstraat                       , 1079 SW ,81.0,3,3000.0,37.03703703703704,52.342121,4.909733
183,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
184,Marnixstraat 220 E                       , 1016 TL ,71.0,3,3500.0,49.29577464788731,52.371239,4.876067
185,Weteringschans 95 II                       , 1017 RZ ,85.0,4,6200.0,72.94117647058823,52.360989000000004,4.887424
186,Singel 93 I                       , 1012 VG ,75.0,2,4450.0,59.33333333333334,52.376034000000004,4.891513
187,Bellamystraat 32                       , 1053 BM ,58.0,2,2000.0,34.48275862068966,52.367179,4.865858
188,Loodskotterhof                       , 1034 CM ,82.0,3,2150.0,26.21951219512195,52.405708000000004,4.90952
189,Niasstraat                       , 1095 VA ,106.0,3,3000.0,28.301886792452827,52.365027000000005,4.942769
191,Grensstraat                       , 1091 SW ,65.0,2,3000.0,46.153846153846146,52.354195000000004,4.910623
192,Prinsengracht                       , 1017 LD ,150.0,5,4700.0,31.33333333333333,52.362122,4.898975
194,J.J. Cremerstraat 4 hs                       , 1054 TD ,65.0,2,3000.0,46.153846153846146,52.360203000000006,4.857616999999999
196,Van Nijenrodeweg                       , 1083 EL ,87.0,3,2800.0,32.18390804597701,52.327461,4.858417
197,Van Linschotenstraat 38                       , 1013 PN ,63.0,3,3600.0,57.14285714285714,52.389254,4.88709
198,Sarphatipark 114 III                       , 1073 ED ,80.0,3,4500.0,56.25,52.353744,4.897897
199,Utrechtsedwarsstraat                       , 1017 WG ,40.0,1,2300.0,57.5,52.361512,4.8993519999999995
201,Reguliersgracht                       , 1017 LR ,55.0,3,3450.0,62.72727272727273,52.362235999999996,4.896054
202,Nieuwezijds Voorburgwal                       , 1012 SE ,60.0,2,2150.0,35.833333333333336,52.374402,4.891203
203,Mensinge 70                       , 1083 HG ,110.0,3,3450.0,31.363636363636363,52.332646000000004,4.888374
204,Govert Flinckstraat 110 B                       , 1072 EL ,96.0,3,4350.0,45.3125,52.354349,4.889876
205,Boomstraat                       , 1015 LA ,50.0,2,3000.0,60.0,52.379166,4.8846099999999995
206,Da Costastraat 10 1                       , 1053 ZB ,78.0,2,2500.0,32.05128205128205,52.367758,4.875131
207,Jacob van Lennepstraat                       , 1053 KB ,50.0,2,2500.0,50.0,52.366959,4.875331
208,Van Oldenbarneveldtstraat                       , 1052 JV ,71.0,3,3050.0,42.95774647887324,52.375406,4.8746
209,Oudezijds Voorburgwal 43 1                       , 1012 EJ ,28.0,2,2000.0,71.42857142857143,52.374414,4.899625
210,Van Heenvlietlaan 186 A                       , 1083 CM ,126.0,4,4300.0,34.12698412698413,52.327461,4.882212
212,Ceintuurbaan                       , 1074 EB ,60.0,2,2800.0,46.66666666666666,52.354812,4.9010370000000005
213,Duinluststraat                       , 1024 VH ,95.0,3,2500.0,26.315789473684212,52.395356,4.952368
214,Waldeck Pyrmontlaan 20 3RV                       , 1075 BX ,180.0,6,3500.0,19.444444444444443,52.353227000000004,4.857273999999999
215,Oudeschans 67 E                       , 1011 KW ,65.0,2,4000.0,61.53846153846154,52.370457,4.903454
216,Crynssenstraat 51                       , 1058 XV ,60.0,2,3500.0,58.33333333333334,52.363162,4.855981
217,Transvaalkade                       , 1092 JN ,40.0,2,2500.0,62.5,52.352773,4.92225
219,Bentinckstraat                       , 1051 GJ ,80.0,4,4200.0,52.5,52.383441999999995,4.872928
220,Kinkerstraat                       , 1053 GG ,76.0,2,3000.0,39.473684210526315,52.367585999999996,4.873204
221,Oudezijds Achterburgwal 169 A                       , 1012 DH ,75.0,3,3500.0,46.66666666666666,52.371067,4.896708
222,Geelvinckssteeg 6 1                       , 1017 BE ,65.0,3,3000.0,46.153846153846146,52.366516,4.891502
223,Runstraat 23 III                       , 1016 GJ ,60.0,3,2500.0,41.66666666666666,52.368836,4.883268
224,Prins Hendrikkade                       , 1011 AN ,65.0,2,3000.0,46.153846153846146,52.378884,4.895995
225,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
226,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
227,Brouwersgracht 248 K                       , 1013 HE ,60.0,2,2150.0,35.833333333333336,52.382417,4.885611
228,Derde Schinkelstraat 27 G                       , 1075 TK ,53.0,2,2500.0,47.16981132075472,52.352740999999995,4.854595
229,Da Costastraat                       , 1053 ZD ,140.0,4,3500.0,25.0,52.371164,4.8733059999999995
231,Rozenstraat                       , 1016 PB ,30.0,2,1950.0,65.0,52.372417999999996,4.879646
232,Jan Olphert Vaillantlaan                       , 1086 ZA ,60.0,3,2150.0,35.833333333333336,52.362457,4.979589
233,Cruquiusweg 107                       , 1019 AG ,50.0,2,3000.0,60.0,52.36953,4.954224
234,Goudsbloemstraat                       , 1015 JR ,50.0,2,2500.0,50.0,52.380648,4.883967
235,Hoendiepstraat                       , 1079 LW ,61.0,3,3500.0,57.377049180327866,52.342346,4.910558999999999
236,Overtoom                       , 1054 LG ,90.0,2,3000.0,33.333333333333336,52.361024,4.868881
238,Tweede Jan Steenstraat                       , 1073 VL ,60.0,3,3500.0,58.33333333333334,52.355608000000004,4.89889
240,Corantijnstraat                       , 1058 DD ,55.0,3,3500.0,63.63636363636363,52.361822,4.852588
241,Schinkelhavenkade                       , 1075 VS ,91.0,2,3500.0,38.46153846153846,52.355515999999994,4.854101
242,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
243,Brouwersgracht 248 B                       , 1013 HE ,62.0,2,2800.0,45.161290322580655,52.382417,4.885611
244,Jephtastraat                       , 1055 JT ,84.0,4,2500.0,29.761904761904763,52.380952,4.845597
245,Van der Palmkade 214                       , 1051 RL ,100.0,3,3500.0,35.0,52.379658,4.873011
247,Singel                       , 1012 VG ,60.0,3,3150.0,52.5,52.375858,4.891292
248,Jan Olphert Vaillantlaan                       , 1086 ZA ,60.0,3,2150.0,35.833333333333336,52.362457,4.979589
249,Berenstraat                       , 1016 GH ,60.0,2,2500.0,41.66666666666666,52.370433,4.882517
250,Overtoom 244 IV                       , 1054 JA ,100.0,3,2950.0,29.5,52.361553,4.870123
251,Wouwermanstraat 24 3                       , 1071 LZ ,80.0,3,2150.0,26.875,52.355049,4.879065
252,Valschermkade                       , 1059 CD ,18.0,1,2000.0,111.11111111111113,52.342239,4.845758999999999
253,Leliegracht                       , 1015 DJ ,59.0,2,2500.0,42.3728813559322,52.375484,4.8859900000000005
254,Kramatweg                       , 1095 JW ,50.0,2,2300.0,46.0,52.360388,4.945341
255,IJburglaan                       , 1087 CE ,118.0,3,4450.0,37.71186440677965,52.368507,4.971287
256,Bella Vistastraat                       , 1096 GM ,100.0,4,3500.0,35.0,52.338004999999995,4.919954
257,Leidsestraat 108 C                       , 1017 PG ,88.0,3,3000.0,34.09090909090909,52.364587,4.883215
258,Hoofdweg 230 2                       , 1057 DG ,58.0,3,3500.0,60.3448275862069,52.367094,4.852836
260,Sarphatistraat                       , 1018 EX ,70.0,3,3500.0,50.0,52.360839,4.9067050000000005
262,Nachtwachtlaan                       , 1058 ES ,98.0,4,4500.0,45.91836734693877,52.36012,4.843505
263,Theodoor van Hoytemastraat                       , 1062 CG ,40.0,2,2500.0,62.5,52.360356,4.837884
264,Onstein 36                       , 1082 KL ,70.0,3,3000.0,42.857142857142854,52.331405,4.869374
266,Rokin 122 4                       , 1012 LC ,120.0,3,3500.0,29.16666666666667,52.368567,4.891993
267,Commelinstraat                       , 1093 TP ,60.0,2,2500.0,41.66666666666666,52.363788,4.92666
268,Elzenhagensingel                       , 1022 LA ,98.0,3,1400.0,14.285714285714285,52.406032,4.935382
269,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
270,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
271,Kinkerstraat                       , 1053 GB ,43.0,2,2350.0,54.65116279069768,52.367585999999996,4.873204
272,Lange Niezel                       , 1012 GS ,30.0,1,2000.0,66.66666666666667,52.375009000000006,4.898612
273,Arent Janszoon Ernststraat                       , 1082 LM ,80.0,4,2500.0,31.25,52.331795,4.889087
274,H. Cleyndertweg                       , 1025 EE ,81.0,3,2500.0,30.8641975308642,52.403166999999996,4.93714
275,Schipluidenlaan                       , 1062 HE ,75.0,3,3500.0,46.66666666666666,52.356334000000004,4.839951
276,Jan Luijkenstraat 42 B                       , 1071 CR ,43.0,2,2000.0,46.511627906976734,52.360139000000004,4.882002
277,Grubbehoeve                       , 1103 GZ ,65.0,2,2350.0,36.153846153846146,52.321782,4.976754
278,Marnixstraat                       , 1017 PJ ,50.0,2,2800.0,56.0,52.365369,4.880152
279,Eerste Helmersstraat                       , 1054 DV ,55.0,2,2300.0,41.81818181818182,52.363890999999995,4.876734
281,Pretoriusstraat 58 1                       , 1092 GJ ,85.0,3,3150.0,37.058823529411775,52.355128,4.9225129999999995
282,Van Spilbergenstraat 10 1                       , 1057 RG ,58.0,3,1700.0,29.310344827586214,52.367437,4.851202
283,Amstelveenseweg 864 I                       , 1081 JM ,42.0,2,2000.0,47.61904761904761,52.328655,4.85723
285,Bloemgracht 158 C                       , 1015 TT ,45.0,2,2150.0,47.77777777777778,52.374287,4.8781099999999995
286,Bolestein 268                       , 1081 EC ,88.0,3,3000.0,34.09090909090909,52.325837,4.858159
287,Ruysdaelstraat                       , 1071 XE ,55.0,2,3000.0,54.54545454545455,52.354581,4.886157
288,Kuipersstraat                       , 1073 ER ,40.0,2,2000.0,50.0,52.353543,4.902691
289,Marnixstraat 77 D                       , 1015 VD ,130.0,4,5000.0,38.46153846153846,52.382095,4.881634
290,Admiralengracht 113 A                       , 1057 ET ,114.0,3,4500.0,39.473684210526315,52.368916999999996,4.856676
291,Daniël Stalpertstraat 28 A                       , 1072 XG ,91.0,4,3150.0,34.615384615384606,52.35622,4.888285
292,Herengracht                       , 1015 BB ,80.0,3,4200.0,52.5,52.365048,4.898317
293,Driekoningenstraat                       , 1016 AL ,93.0,3,4000.0,43.01075268817203,52.373945,4.8881440000000005
294,Amstelveenseweg 206 IV                       , 1075 XS ,55.0,3,2800.0,50.90909090909091,52.351622,4.8559730000000005
295,Haarlemmermeerstraat 68 2                       , 1058 KC ,75.0,5,2500.0,33.333333333333336,52.35582,4.850095
296,Valeriusstraat                       , 1071 MN ,57.0,3,2200.0,38.59649122807018,52.353221999999995,4.865353
297,Overtoom                       , 1054 HK ,115.0,3,5500.0,47.82608695652174,52.361024,4.868881
298,Jisperveldstraat                       , 1024 AZ ,85.0,4,3000.0,35.29411764705883,52.398777,4.951183
299,Ceintuurbaan                       , 1074 EB ,60.0,2,2800.0,46.66666666666666,52.354812,4.9010370000000005
300,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
301,Hemonystraat                       , 1074 BL ,75.0,2,3150.0,42.0,52.356921,4.902516
302,Van Baerlestraat                       , 1071 BD ,90.0,3,4200.0,46.66666666666666,52.354889,4.880967
305,Grote Ruwenberg                       , 1083 BS ,66.0,3,2350.0,35.60606060606061,52.325415,4.8842
306,Zaandijkstraat                       , 1013 VN ,50.0,2,3500.0,70.0,52.38798,4.879565
307,Ferdinand Bolstraat                       , 1072 LB ,65.0,2,2800.0,43.07692307692307,52.350566,4.891676
308,Wiborgeiland                       , 1014 ZC ,71.0,2,3150.0,44.36619718309859,52.393456,4.87726
